"time_hours","time_days","baseline_1","baseline_2","baseline_3","fluctmin_1","fluctmin_2","fluctmin_3","fluctmax_1","fluctmax_2","fluctmax_3","baseline_temp","fluctmin_temp","fluctmax_temp"
0,0,266.0725,199.5262,473,199.5262,112.2018,473,630.9573,473.1513,355,20,2.5,5
24,1,112.2018,149.6236,112,266.0725,149.6236,112,199.5262,112.2018,473,20,2.5,5
72,3,112.2018,199.5262,266,149.6236,84.13951,150,149.6236,84.13951,84,20,2.5,5
144,6,149.6236,149.6236,112,354.8134,354.8134,266,841.3951,3548.134,1995,20,2.5,5
216,9,841.3951,630.9573,1122,473.1513,1995.262,1496,63095.73,8413.951,14962,20,2.5,5
288,12,1496.236,6309.573,2661,19952.62,8413.951,11220,354813.4,354813.4,149624,20,2.5,5
360,15,84139.51,84139.51,47315,473151.3,630957.3,841395,8413951,354813.4,8413951,20,2.5,5
432,18,630957.3,630957.3,1995262,2660725,199526.2,6309573,6309573,11220185,19952623,20,2.5,5
504,21,1995262,4731513,3548134,8413951,6309573,8413951,11220185,354813.4,8413951,20,2.5,5
